data,hora,nivel (cm)
29/06/2005,00:00:00
29/06/2005,01:00:00
29/06/2005,02:00:00
29/06/2005,06:00:00,26
29/06/2005,07:00:00,27
29/06/2005,08:00:00,26
29/06/2005,09:00:00,27
29/06/2005,10:00:00,26
29/06/2005,11:00:00,27
29/06/2005,12:00:00,30
29/06/2005,13:00:00,39
29/06/2005,14:00:00,59
29/06/2005,15:00:00,82
29/06/2005,17:00:00,26
29/06/2005,18:00:00,27
29/06/2005,19:00:00,30
29/06/2005,20:00:00,39
29/06/2005,21:00:00,59
29/06/2005,22:00:00,82
29/06/2005,23:00:00,59
30/06/2005,00:00:00,82
30/06/2005,06:00:00,26
30/06/2005,07:00:00,26
30/06/2005,08:00:00,27
30/06/2005,09:00:00,30
30/06/2005,10:00:00,39
30/06/2005,11:00:00,59
30/06/2005,12:00:00,82
30/06/2005,16:00:00,26
30/06/2005,17:00:00,27
30/06/2005,18:00:00,30
30/06/2005,19:00:00,39
30/06/2005,20:00:00,59
30/06/2005,21:00:00,82
30/06/2005,22:00:00,59
30/06/2005,23:00:00,82
01/07/2005,05:00:00,26
01/07/2005,06:00:00,27
01/07/2005,07:00:00,30
01/07/2005,08:00:00,39
01/07/2005,09:00:00,59
01/07/2005,10:00:00,82
01/07/2005,16:00:00,26
01/07/2005,17:00:00,26
01/07/2005,18:00:00,27
01/07/2005,19:00:00,26
01/07/2005,20:00:00,27
01/07/2005,21:00:00,30
01/07/2005,22:00:00,39
01/07/2005,23:00:00,59
02/07/2005,00:00:00,82
02/07/2005,04:00:00,26
02/07/2005,05:00:00,27
02/07/2005,06:00:00,26
02/07/2005,07:00:00,27
02/07/2005,08:00:00,26
02/07/2005,09:00:00,27
02/07/2005,10:00:00,30
02/07/2005,11:00:00,39
02/07/2005,12:00:00,59
02/07/2005,13:00:00,82
03/07/2005,05:00:00,26
03/07/2005,06:00:00,27
03/07/2005,07:00:00,26
03/07/2005,08:00:00,27
03/07/2005,09:00:00,30
03/07/2005,10:00:00,39
03/07/2005,11:00:00,59
03/07/2005,12:00:00,82
04/07/2005,06:00:00,26
04/07/2005,07:00:00,27
04/07/2005,08:00:00,30
04/07/2005,09:00:00,39
